asset_id,asset_type,source_url,local_path,source_hash,download_status,download_error,file_size
hand_001,hand,http://p0.meituan.net/pilotimages/b9632e3a699fdb63a1a6139bbfd6bf0d2159483.png,data/raw/images/hands/hand_001.png,eb23c65a64929856d2802c8550fb101993aea922,exists,,1337412
style_001_original,style_original,http://p0.meituan.net/pilotimages/8491d190aeb8f44e32f6b278535bf2b41075477.png,data/raw/images/nail_styles_original/style_001_original.png,265f55b705ac4ccf245bae0553ea5e78398f6753,exists,,1075477
style_001_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/87797733466cfd525625a5947767e2ff1794125.png,data/raw/images/nail_styles_enhanced/style_001_enhanced.png,0ab7cdf9c688bc2da4a3ee79119c1286e18c4da4,exists,,1221491
hand_002,hand,http://p1.meituan.net/pilotimages/704b1c4bdf589b5d5367f2748f6868f42205269.png,data/raw/images/hands/hand_002.png,b41fca5be2b8ed7c1b4fc44fbfde126cdfb14afb,exists,,1440833
style_002_original,style_original,http://p1.meituan.net/pilotimages/493fc5818746fe45d9be82763034edbe1246574.png,data/raw/images/nail_styles_original/style_002_original.png,37e2a62458098a4f708b7ccea46397431812ea0a,exists,,1246574
style_002_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/162afb52255bd908ba3ec418fd61824a2254875.png,data/raw/images/nail_styles_enhanced/style_002_enhanced.png,85bde1b9380023b2547ba7b2688985a7dd7e1e80,exists,,1421427
hand_003,hand,http://p0.meituan.net/pilotimages/3cd4bc446f321574df68ce0a749b16b62603765.png,data/raw/images/hands/hand_003.png,072a50fa84c068c35f817e55ace3bb6f1adc9cd9,exists,,1373979
style_003_original,style_original,http://p0.meituan.net/pilotimages/667658abb96c7547791d48360a8e95b61155924.png,data/raw/images/nail_styles_original/style_003_original.png,988352cf876a0864dbc534230e10027eb2442327,exists,,1155924
style_003_enhanced,style_enhanced,http://p1.meituan.net/pilotimages/7bb5bc0c2c741f9f0aa63787a601d7ad2604877.png,data/raw/images/nail_styles_enhanced/style_003_enhanced.png,3b386038ff45c3085698dd4b43c67e719a2e644c,exists,,1442019
hand_004,hand,http://p0.meituan.net/pilotimages/7c791f4b4b13659d62d991f172f5ffd02674881.png,data/raw/images/hands/hand_004.png,defd898690b689426d814b81c55f51ed8a6ca212,exists,,1474270
style_004_original,style_original,http://p1.meituan.net/pilotimages/f8539918c55c5c1e4a45ee3996df65f7167977.jpg,data/raw/images/nail_styles_original/style_004_original.jpg,e6af53169e23fba50b32240f192c8ca2f73af297,exists,,167903
style_004_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/fc8fe60e78341d77a5070fc2f8e520072098070.png,data/raw/images/nail_styles_enhanced/style_004_enhanced.png,7f120553de2c66d22cc7e265fb54e140b3a6e1a9,exists,,1419247
hand_005,hand,http://p1.meituan.net/pilotimages/5a7efacd78020469ab44e4caca1afe972676586.png,data/raw/images/hands/hand_005.png,92b9f87c154ccf59800b97f979b62673700a3134,exists,,1508057
style_005_original,style_original,http://p1.meituan.net/pilotimages/1d448b059cddcc2f0705a4a4fe554e06261514.jpg,data/raw/images/nail_styles_original/style_005_original.jpg,a19cbf7ee3dd68bcc518847ced119cbff0b727f0,exists,,261514
style_005_enhanced,style_enhanced,http://p1.meituan.net/pilotimages/3c0d090e20f0cb56f70fcb56c54dd6582416974.png,data/raw/images/nail_styles_enhanced/style_005_enhanced.png,33f358703ae44602d512348f669e243fe32870da,exists,,1961389
hand_006,hand,http://p1.meituan.net/pilotimages/6a3d032df4a143c79c3e2ec3cd4c53522723999.png,data/raw/images/hands/hand_006.png,c122ed3ca9caa6bcff8fedc2c5a12a580d26cb60,exists,,1465777
style_006_original,style_original,http://p0.meituan.net/pilotimages/a99d2de6bf0ade20211c0ae46af8e44b1057335.png,data/raw/images/nail_styles_original/style_006_original.png,f7ea2b5df4b4c42701c209de96dcd266941928be,exists,,1057335
style_006_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/6c857edd85a5fa4bcec59698fe9416cb1913981.png,data/raw/images/nail_styles_enhanced/style_006_enhanced.png,7f01457190b018e868ef924cb7a231b88c5b1412,exists,,1291166
hand_007,hand,http://p0.meituan.net/pilotimages/ed9a1cd3cca3997ede3779771dda6a772149757.png,data/raw/images/hands/hand_007.png,d641151841c89b52a4fa1fc2606f446cea380393,exists,,1478002
style_007_original,style_original,http://p0.meituan.net/pilotimages/6dedbe1cfe7de834cd8faa4e19179fee1123627.png,data/raw/images/nail_styles_original/style_007_original.png,7ed20ef8633d3591c0e4672c1edfed09683bcdf5,exists,,1123627
style_007_enhanced,style_enhanced,http://p0.meituan.net/pilotimages/2ac2d01a9bc78320edbe2b545b485b4a2132292.png,data/raw/images/nail_styles_enhanced/style_007_enhanced.png,b48c96e8a682437c1f33f36d704c17465435e5af,exists,,1261101
hand_008,hand,http://p1.meituan.net/pilotimages/a52c995f1f9e2e668c6093099cfd24032514125.png,data/raw/images/hands/hand_008.png,028e76f7351c347b12a69729188d0c45423cf99d,exists,,1384352
style_008_original,style_original,http://p0.meituan.net/pilotimages/7b22fa4e6e1ee4e59a1115a27b125fe0996286.png,data/raw/images/nail_styles_original/style_008_original.png,dbef3339bbfb63b40c8dee12c119e3b9e0603b2c,exists,,996286
